geography,year,n_areas,z_total_mean,z_total_lo90,z_total_hi90
Hillingdon,2013,170,879.7451049647086,681.850688584541,1117.2578973831273
Hillingdon,2014,170,1112.1294559274181,917.0355055343201,1314.5685307223098
Hillingdon,2015,170,1142.0756443854718,910.4656790466375,1373.1632869779999
Hillingdon,2016,170,1718.28535557766,1565.1397036054432,1888.2745170937033
Hillingdon,2017,170,1151.950561463986,977.7177437853579,1346.2636125940667
Hillingdon,2018,170,902.1814451880241,706.3702580874813,1114.5602009922761
Hillingdon,2019,170,1088.1263474862037,858.2935344952153,1335.793784083246
Hillingdon,2020,170,1342.0729784506755,1147.795041992224,1568.4101621780728
Hillingdon,2021,170,1186.1572213617906,1002.7950633882098,1397.9998705861178
Hillingdon,total,170,11568.0,11568.0,11568.0
Hounslow,2012,150,473.1758542694132,328.0953827848828,637.9550859942213
Hounslow,2013,150,1505.6089388235246,1291.398029107851,1729.4274964337012
Hounslow,2014,150,1180.7430899627186,976.941583644877,1404.8152778003348
Hounslow,2015,150,1627.8092740037068,1433.407844199188,1832.1832953898486
Hounslow,2016,150,1240.0849467545956,1029.77313846405,1472.5260100618145
Hounslow,2017,150,1256.1617790326616,1052.007449543492,1460.9411929412463
Hounslow,2018,150,1081.7054283645753,874.1521898506284,1320.950940936749
Hounslow,2019,150,988.3753590009815,802.6845785010747,1182.4744538842797
Hounslow,2020,150,853.3111221838715,640.6159331293929,1075.6596275555426
Hounslow,2021,150,1032.0242076039517,836.9573425548157,1238.8614152881664
Hounslow,total,150,11239.0,11239.0,11239.0
Islington,2012,126,1398.4727806933215,1204.5238867892808,1604.3720406239431
Islington,2013,126,1235.4184445193066,980.7218516850196,1507.6916697332429
Islington,2014,126,1219.8271686883843,993.6247306101507,1452.0815039437455
Islington,2015,126,1038.5614459164806,848.927732803032,1260.4747686568035
Islington,2016,126,1004.043412071368,794.4012845980191,1236.3619717737465
Islington,2017,126,1140.729798719655,908.8098460964729,1387.3635258929362
Islington,2018,126,881.1884993511284,691.352080601693,1088.4363098142271
Islington,2019,126,856.6943218935077,617.8820579286698,1131.8359928797586
Islington,2020,126,477.50626379841333,324.8127559200516,665.9823239152502
Islington,2021,126,766.5578643484348,540.1098875856107,1002.4734898737283
Islington,total,126,10019.0,10019.0,10019.0
Kensington and Chelsea,2012,101,655.4549351581778,504.7591570663222,782.2497131697162
Kensington and Chelsea,2013,101,388.14865113242314,261.3002262700137,514.9858011837906
Kensington and Chelsea,2014,101,220.17111208947716,114.68508501489956,340.2058219302172
Kensington and Chelsea,2015,101,736.1780717321026,556.3969891139852,911.941977405171
Kensington and Chelsea,2016,101,620.5161867044219,467.7452599108012,765.632760875848
Kensington and Chelsea,2017,101,584.3345124386815,445.1375508394119,722.8662940210314
Kensington and Chelsea,2018,101,189.86287334002088,59.925975144321306,329.6256114126321
Kensington and Chelsea,2019,101,415.83317019885993,238.38300954898924,554.9465073611989
Kensington and Chelsea,2020,101,280.756473613169,134.55954938933218,426.64691938924545
Kensington and Chelsea,2021,101,337.7440135926662,200.8508500747787,476.30359726834166
Kensington and Chelsea,total,101,4429.0,4429.0,4429.0
Kingston upon Thames,2012,99,447.9432047871475,395.3836708765512,507.1219228218933
Kingston upon Thames,2013,99,236.73871039259475,163.61069185365048,316.6258197929049
Kingston upon Thames,2014,99,414.4563987599648,345.2721739652137,487.704010114462
Kingston upon Thames,2015,99,289.90694993359074,204.89952359455842,385.09312646538797
Kingston upon Thames,2016,99,369.8406190503882,301.7935610074373,447.1365381493658
Kingston upon Thames,2017,99,417.44395845643083,321.05534073472194,497.7480197766787
Kingston upon Thames,2018,99,317.06540967348576,251.00259321061043,391.2714632822127
Kingston upon Thames,2019,99,312.15155304319336,242.7802013519868,387.1752076139022
Kingston upon Thames,2020,99,331.584630581429,250.50692082524316,410.5181099022227
Kingston upon Thames,2021,99,546.8685653217749,452.2064910180623,636.7824089266759
Kingston upon Thames,total,99,3684.0,3684.0,3684.0
Lambeth,2012,181,1309.484847391016,1054.6068241039522,1578.326827064841
Lambeth,2013,181,1257.4032791551158,1045.6682862773002,1484.6500499982756
Lambeth,2014,181,1475.481713890686,1214.3859046420564,1756.0599264261757
Lambeth,2015,181,1580.9325042023736,1300.933539696383,1901.0217973489177
Lambeth,2016,181,1788.7537495448,1504.174508877778,2071.7940459587912
Lambeth,2017,181,1746.169835094756,1471.5989391886299,2024.3118331838252
Lambeth,2018,181,1693.9137625914054,1430.0897679634356,1959.1184075771432
Lambeth,2019,181,1108.4466690612694,842.2687334696518,1442.1092610366477
Lambeth,2020,181,1142.7550210122297,911.317011296498,1439.5796657325009
Lambeth,2021,181,1093.6586180563477,824.8439758471837,1397.0854443016115
Lambeth,total,181,14197.0,14196.999999999998,14197.0
Lewisham,2012,175,1363.3403549237646,1194.6872451984464,1574.6598256898055
Lewisham,2013,175,1114.0075065094966,912.0361974987491,1352.4759919202825
Lewisham,2014,175,1877.2170553077294,1630.1980722387307,2139.135982274295
Lewisham,2015,175,1576.9424471819977,1298.2685826482016,1837.4382447765001
Lewisham,2016,175,1682.9567400984915,1445.777026453047,1944.4150789743646
Lewisham,2017,175,1977.8145825723398,1706.3217979626643,2231.9751713258256
Lewisham,2018,175,1096.2715707910704,869.9427234771184,1324.995353566735
Lewisham,2019,175,1070.0878896004904,862.6398989750996,1317.6824842973242
Lewisham,2020,175,938.1503407534939,778.618468570934,1123.396425632969
Lewisham,2021,175,1096.211512261125,817.8151545305146,1367.3667102528143
Lewisham,total,175,13793.0,13793.0,13793.0
Merton,2012,126,478.3608865308256,363.8407888280811,597.8024510919292
Merton,2013,126,444.99182041882426,326.2868946193554,568.2366658801669
